Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
1420,0.001117,0.00074,0.015181,0.000824,0.005534,0.012434,0.000316,0.000258,0.000006,0.015834
1426,0.001262,0.000725,0.014265,0.000681,0.004419,0.010537,0.000312,0.000255,0.000006,0.018097
1432,0.00082,0.000731,0.015154,0.000808,0.004793,0.010375,0.000312,0.000256,0.000006,0.016514
1438,0.000809,0.000915,0.015328,0.000698,0.005195,0.01151,0.000314,0.000258,0.000006,0.01691
1444,0.000668,0.000818,0.015101,0.000816,0.005259,0.012347,0.000314,0.000301,0.000006,0.016864
1450,0.001039,0.000962,0.01524,0.000804,0.004681,0.01254,0.000301,0.000303,0.000006,0.020434
1456,0.000803,0.000815,0.015169,0.000766,0.003366,0.012861,0.000322,0.000261,0.000006,0.018049
1462,0.000695,0.000739,0.01462,0.0008,0.003239,0.01556,0.000328,0.000263,0.000006,0.018265
1468,0.000864,0.000968,0.013953,0.000806,0.003243,0.014297,0.000359,0.000262,0.000006,0.017453
1474,0.00071,0.001156,0.015165,0.000814,0.003268,0.013577,0.000334,0.000288,0.000006,0.017213
1480,0.000741,0.001021,0.014709,0.000815,0.0033,0.014272,0.000308,0.000291,0.000006,0.017276
1486,0.000755,0.001059,0.015537,0.000855,0.003316,0.013911,0.000332,0.000311,0.000006,0.017803
1492,0.000817,0.001519,0.014286,0.00073,0.003347,0.014054,0.000323,0.000289,0.000006,0.017898
1498,0.000913,0.001546,0.014349,0.000873,0.003369,0.01459,0.000326,0.000266,0.000006,0.019969
1504,0.00081,0.001531,0.018005,0.000875,0.005106,0.014423,0.000315,0.000271,0.000006,0.018943
1510,0.000685,0.001977,0.016264,0.000909,0.005427,0.011514,0.000314,0.00027,0.000006,0.019082
1516,0.000901,0.001288,0.016005,0.000874,0.006271,0.011974,0.000319,0.000271,0.000006,0.021531
